,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
94,94,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,1
95,95,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,0
96,96,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,55
97,97,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,82
98,98,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,171
99,99,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,160
100,100,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,47
101,101,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,143
102,102,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,212
103,103,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,82
104,104,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,153
105,105,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,93
106,106,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,86
107,107,15004,8500,425,500,1322,125,6,751,174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,38
108,108,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,7
109,109,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,8
110,110,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,3
111,111,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,29
112,112,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,27
113,113,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,1
114,114,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,1
115,115,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,3
116,116,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,33
117,117,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,6
118,118,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,16
119,119,15006,2068,44,100,138,12,5,59,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,4
120,120,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,88
121,121,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,0
122,122,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,26
123,123,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,0
124,124,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,1
125,125,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,21
126,126,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,48
127,127,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,17
128,128,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,41
129,129,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,5
130,130,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,10
131,131,150044,2520,126,200,257,24,5,121,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,0
132,132,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,4
133,133,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,56
134,134,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,38
135,135,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,1
136,136,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,11
137,137,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,44
138,138,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,29
139,139,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,31
140,140,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,26
141,141,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,74
