code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized,Month,Value
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,April_normalized,0.1473214285714285
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,May_normalized,0.0486486486486486
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,June_normalized,0.3825136612021858
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,July_normalized,0.081799591002045
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,August_normalized,0.040590405904059
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,September_normalized,0.0789473684210526
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,October_normalized,0.1016949152542373
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,Novermber_normalized,0.072
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,December_normalized,0.0295566502463054
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,January_normalized,0.0
